slug	title	meta_description	content_header	guide_content	search_conditions	keyword	sort	sort_order	icon	color
commute-125cc	通勤・通学におすすめの125cc以下バイク	通勤・通学に最適な125cc以下の原付二種バイクを特集。燃費が良く維持費も安い、毎日使える実用的な1台を見つけましょう。全国の在庫から価格・走行距離を比較できます。	<p>毎日の通勤・通学にバイクを使いたいなら、<strong>125cc以下の原付二種</strong>がおすすめです。普通自動車免許に小型限定を追加するだけで乗れるうえ、燃費は30〜50km/Lと経済的。車体価格も手頃で、任意保険はファミリーバイク特約が使えるため維持費を大幅に抑えられます。</p><p>通勤ラッシュの渋滞をすり抜け、駐輪場にもコンパクトに収まる125ccクラス。PCX、アドレス125、ジョグなど人気モデルの在庫をチェックして、快適な通勤ライフを始めましょう。</p>	125ccバイク（原付二種）は原付と異なり二段階右折が不要で、法定速度は60km/hまで出せます。年間の維持費は自賠責保険・任意保険（ファミリーバイク特約）・税金を合わせて約3〜5万円程度と非常に経済的。通勤距離が片道10km以内であれば、電車やクルマよりもコストパフォーマンスに優れています。選ぶ際のチェックポイントは、燃費（カタログ値30km/L以上が目安）、シート高（足つきの良さ）、メットインなどの収納力の3つです。	{"max_displacement": 125, "min_displacement": 50}	NULL	bargain_desc	10	zap	bg-gradient-to-br from-blue-500 to-cyan-400
budget-under-20man	20万円以下の中古バイク	20万円以下で買える中古バイクを一覧表示。通勤・通学や初めてのバイクに最適な格安車両を価格・車種・地域で比較できます。	20万円以下で手に入る中古バイクを集めました。初めてのバイクや通勤用に、コスパの良い1台を見つけましょう。	20万円以下のバイクは原付スクーターや125ccクラスが中心です。走行距離や年式をチェックし、整備記録のある車両を選ぶと安心です。任意保険やヘルメットなどの初期費用も考慮して予算を組みましょう。	{"max_price": 20}	NULL	price_asc	13	piggy-bank	bg-emerald-600
budget-under-30man	30万円以下の中古バイク	30万円以下の中古バイクを価格順で一覧表示。125cc〜250ccの人気車種が手の届く価格で見つかります。	予算30万円以下で見つかる中古バイクの一覧です。125ccから250ccまで、選択肢が一気に広がる価格帯です。	30万円あれば125cc〜250ccクラスの人気車種に手が届きます。PCX、レブル250、ニンジャ250など選択肢が豊富。車検不要の250cc以下なら維持費も抑えられます。	{"max_price": 30}	NULL	price_asc	14	wallet	bg-emerald-500
budget-under-50man	50万円以下の中古バイク	50万円以下の中古バイクを検索。250cc〜400ccの中型から大型バイクまで幅広い選択肢があります。	50万円以下で購入できる中古バイクです。中型から大型まで、本格的なバイクライフを始めるのに最適な価格帯です。	50万円以下なら400ccクラスや大型の不人気車も狙えます。SR400やCB400SFなど定番ネイキッドに加え、年式が古めの大型ツアラーも射程圏内。車検費用を含めた年間維持費を計算してから選びましょう。	{"max_price": 50}	NULL	price_asc	15	banknote	bg-emerald-700
beginner-recommend	初心者におすすめのバイク	バイク初心者におすすめの中古車を厳選。扱いやすい250cc以下、50万円以下の車両を中心にご紹介。	初めてバイクを買う方におすすめの車両を集めました。扱いやすい排気量と手頃な価格で、安心してバイクライフをスタートできます。	初心者には車重が軽く足つきの良い250cc以下がおすすめです。車検不要で維持費も安く、立ちゴケしても修理代が抑えられます。人気のPCX、レブル250、ニンジャ250は中古の流通量が多く、パーツも手に入りやすいのがメリットです。	{"max_price": 50, "max_displacement": 250}	NULL	bargain	16	graduation-cap	bg-sky-500
women-recommend	女性におすすめのバイク	女性ライダーにおすすめの中古バイク。足つきが良く軽量な125cc〜250ccモデルを中心にご紹介。	女性ライダーにおすすめの軽量で扱いやすいバイクを集めました。足つき良好・軽量な車種で、安心してライディングを楽しめます。	シート高が低く車重200kg以下のモデルが取り回しやすくおすすめです。PCX、ビーノ、レブル250は女性人気が高い定番モデル。まずは教習所で乗った車種に近いものから始めると安心です。	{"max_price": 50, "max_displacement": 250}	NULL	bargain	17	heart	bg-pink-500
touring-recommend	ツーリング向けおすすめバイク	ツーリングに最適な中古バイクを一覧表示。長距離が快適な250cc以上のモデルを厳選。	ロングツーリングに最適なバイクを集めました。風防・積載性・燃費に優れた車種で、快適な旅を楽しみましょう。	ツーリングには250cc以上で航続距離が長いモデルが最適です。Vストローム250、PCX160、CB400SFなどは燃費と快適性のバランスが良い定番。シートの快適さ、パニアケースの取付可否もチェックポイントです。	{"min_displacement": 250}	NULL	bargain	18	map	bg-amber-600
large-bike-recommend	大型バイクおすすめ	401cc以上の大型バイクを一覧検索。ネイキッド・ツアラー・アドベンチャーなど多彩なジャンルから選べます。	圧倒的なパワーと存在感の大型バイク。401cc以上のおすすめ車両を集めました。	大型バイクは高速道路での余裕が最大の魅力です。ただし車重300kg超のモデルは取り回しに慣れが必要。初めての大型ならCB650RやSV650など、ミドルクラスから始めるのもおすすめです。	{"min_displacement": 401}	NULL	bargain	19	gauge	bg-indigo-600
short-riders-250cc	足つきが良い250cc以下バイク	足つきの良い250cc以下のバイクを特集。シート高が低めで初心者や小柄なライダーも安心して乗れるモデルを厳選。全国の中古・新車在庫を比較できます。	<p>バイク選びで気になるのが「足つき」。特に初心者や小柄なライダーにとって、<strong>両足が地面にしっかり届くかどうか</strong>は安心感に直結します。250ccクラスなら車検不要で維持費もお手頃。</p><p>レブル250、ニンジャ250、PCXなどシート高が低めの人気モデルから、あなたの体格にぴったりの1台を見つけてください。中古なら足回りのカスタム済み車両も狙い目です。</p>	足つきに不安がある方は、シート高760mm以下を目安に探すのがおすすめです。ただしシート幅や車体の絞り込み形状によって実際の足つき感は変わるため、数値だけで判断せず実車にまたがることが大切。中古車なら「ローダウン済み」「シートあんこ抜き」のカスタム車両もあり、さらに足つきが良くなっている場合があります。初心者の方は、車両重量が軽い（150kg以下）モデルを選ぶと取り回しも楽になります。	{"max_displacement": 250}	NULL	latest	20	user	bg-gradient-to-br from-green-500 to-emerald-400
150cc-bike	150ccバイクの中古車	150ccバイクの中古車一覧。高速道路も走れるコンパクトなサイズが魅力。PCX160、ジクサー150など。	高速道路も走れる150ccクラスのバイクを集めました。小型二輪免許で乗れるコンパクトで経済的な選択肢です。	150ccは125ccより少しパワーがあり高速道路にも乗れるのが最大のメリット。PCX160、ジクサー150、CBR150Rなどが人気です。維持費は250ccとほぼ同等ですが車体が軽いので取り回しが楽です。	{"max_displacement": 160, "min_displacement": 126}	NULL	bargain	20	zap	bg-cyan-600
low-mileage	走行距離1万km以下の中古バイク	走行距離1万km以下の低走行中古バイクを検索。状態の良い車両をお探しの方に。	走行距離1万km以下の低走行車両を集めました。状態の良いバイクをお探しの方におすすめです。	走行距離が少ない車両は消耗部品の交換頻度が少なく、エンジンの状態も良好なことが多いです。ただし長期放置車は別途注意が必要。バッテリーやタイヤの製造年もチェックしましょう。	{"max_mileage": 10000}	NULL	latest	21	activity	bg-violet-600
recent-model	高年式（3年以内）の中古バイク	直近3年以内の高年式中古バイクを一覧表示。新車に近いコンディションの車両を探せます。	2023年以降の高年式モデルを集めました。新車に近い状態の中古バイクをお得に手に入れるチャンスです。	高年式車は最新の安全装備（ABS、トラクションコントロール等）が搭載されている可能性が高く、メーカー保証が残っている場合もあります。新車との価格差が大きいモデルほどお買い得です。	{"min_model_year": 2023}	NULL	latest	22	sparkles	bg-rose-500
