bike_model_id,model_name_check,model_slug,task,frame_code,year_range,oem_part_no,recommended_part_no,compatibles,spec,source_1_name,source_1_url,source_2_name,source_2_url,verified_at,note
1285,sr400,sr400,oil,,,,ヤマルーブ プレミアムシンセティック,,jaso=MA;capacity_change=2.00L;interval=3000km,ヤマハ SR400 取扱説明書 B9F-28199-J11(2023.05),https://www2.yamaha-motor.co.jp/jp/manual/mc/index,,,2026-07-25,"JASO=MAは湿式クラッチ要求(取説はFX(MB)使用不可の注記あり・取説にJASO文字は非記載)。粘度SAE10W-30目安。オイル交換時2.00L/フィルタ取り外し時2.10L。交換時期:初回1000km/1ヶ月→以後3000km/1年(フィルタ9000km)。バッテリーGT4B-5・プラグNGK BPR6ES。型式・year_range要確認(2021 Final=2BL-RH03J目安)。"
1373,xsr155,xsr155,oil,MTM155-A,,,ヤマルーブ プレミアムシンセティック,,jaso=MA;capacity_change=0.85L;interval=3000km,ヤマハ XSR155(MTM155-A) 取扱説明書 DG0-F8199-J0(2026.01),https://www2.yamaha-motor.co.jp/jp/manual/mc/index,,,2026-07-25,"JASO=MAは湿式クラッチ要求(取説にJASO/粘度の記載なし)。オイル交換時0.85L/フィルタ取り外し時0.95L。交換時期:初回1000km/1ヶ月→以後3000km/1年(フィルタ9000km)。バッテリーYTZ6V・プラグNGK MR8E9。year_range要確認。"
1439,yzf−r25,yzf-r25,oil,,,,ヤマルーブ プレミアムシンセティック,,jaso=MA;capacity_change=2.00L;interval=5000km,ヤマハ YZF-R25 取扱説明書 BRE-F8199-J0(2024.12),https://www2.yamaha-motor.co.jp/jp/manual/mc/index,,,2026-07-25,"JASO=MAは湿式クラッチ要求(取説にJASO/粘度の記載なし)。オイル交換時2.00L/フィルタ取り外し時2.30L。交換時期:初回1000km/1ヶ月→2回目5000km→以後5000km/1年。バッテリーGTZ8V・プラグNGK LMAR8A-9。型式・year_range要確認。"
941,gsx250r,gsx250r,oil,,,,ECSTAR R9000 (10W-40 MA2),,jaso=MA2;capacity_change=2.1L;interval=6000km,スズキ GSX250R 取扱説明書 99011-20KB0,https://www1.suzuki.co.jp/motor/support/owners_manual/,,,2026-07-25,"取説明記:JASO MA2/SAE10W-40(ECSTAR R9000/R7000/R5000)。オイル交換時2.1L/全容量2.4L(フィルタ交換時は要確認)。交換時期:初回1000km/1ヶ月→以後6000km/1年(フィルタ18000km)。型式・year_range要確認。"
900,gixxer 250,gixxer-250,oil,,,,ECSTAR R9000 (10W-40 MA2),,jaso=MA2;capacity_change=1.18L;interval=6000km,スズキ GIXXER 250/SF 250 取扱説明書 99011-41KJ0,https://www1.suzuki.co.jp/motor/support/owners_manual/,,,2026-07-25,"取説明記:JASO MA2/SAE10W-40。オイル交換時1.18L/フィルタ交換時1.2L/全容量1.8L。交換時期:初回1000km/1ヶ月→以後6000km/1年(フィルタ18000km)。GIXXER SF 250と共通エンジン。型式・year_range要確認。"
1116,ハヤブサ,hayabusa-1300,oil,,,,ECSTAR R9000 (10W-40 MA2),,jaso=MA2;capacity_change=3.2L;interval=6000km,スズキ ハヤブサ 取扱説明書 99011-10L40,https://www1.suzuki.co.jp/motor/support/owners_manual/,,,2026-07-25,"取説明記:JASO MA2/SAE10W-40。オイル交換時3.2L/フィルタ交換時3.4L/全容量4.1L。交換時期:初回1000km/1ヶ月→以後6000km/1年(フィルタ18000km)。プラグNGK CR8EIA-9・燃料タンク20L。slug=hayabusaは既存モデルと重複のため空欄(どのモデルがhayabusaのURLを持つか要調整)。型式・year_range要確認。"
1167,axis z,axis-z,oil,LTS125-C,,,要確認(ヤマルーブ MB適合油),,jaso=MB;capacity_change=0.80L;interval=3000km,ヤマハ AXIS Z(LTS125-C) 取扱説明書 BJH-F8199-J2G,https://www2.yamaha-motor.co.jp/jp/manual/mc/index,,,2026-07-25,"JASO=MBはスクーター(CVT・乾式クラッチ相当)標準(取説にJASO文字は非記載)。エンジンオイル0.80L。交換時期:初回1000km→以後3000km/1年。ファイナルギヤオイル0.10L(ヤマルーブ ギヤオイル)は別task。推奨油の製品名は未取得→要確認。year_range要確認。"
680,ninja 250,ninja-250,oil,8BK-EX250Y,,,要確認(カワサキ純正 MA適合油),,jaso=MA;capacity_change=2.0L,カワサキ公式スペックページ 2026 Ninja 250,https://www.kawasaki-motors.com/ja-jp/motorcycle/ninja/sport/ninja-250/2026-ninja-250,,,2026-07-25,"出典はメーカー公式スペックページ(取説ではない)。エンジンオイル容量2.0Lは交換時/全容量の区別なしの総称値→交換時量は取説で確定推奨。SAE粘度・交換時期・JASO文字は同ページに無し。JASO=MAは湿式多板クラッチ由来。推奨油の製品名は未取得→要確認。型式8BK-EX250Yは2026新型で在庫の旧年式(2BK-EX250M系等)とは別型式の可能性→frame_code/year_range要確認。248cc並列2気筒。interval未取得。"
439,ジョルノ,giorno,oil,,,,要確認(Honda純正 ウルトラ系 MB油),,jaso=MB;capacity_change=0.65L;interval=6000km,Honda公式Q&A(原付一種スクーター) qa009,https://www.honda.co.jp/customer/motor/scooter50/faq/qa009/,,,2026-07-25,"オイル交換時0.65L/全容量0.7L。交換時期:初回1000km/1ヶ月→以後6000km/1年。JASO=MBはスクーター(CVT)標準(FAQにJASO/粘度の明記なし)。JOG(=ジョルノOEM)と同値。推奨油はHonda純正ウルトラ系のMB油だが製品名はFAQ非記載→要確認。バッテリーGTZ6V(qa016)。frame_code/year_range要確認。"
197,dio110 lite,dio110-lite,oil,,,,要確認(Honda純正 ウルトラ系 MB油),,jaso=MB;capacity_change=0.7L;interval=3000km,Honda公式Q&A(原付二種スクーター) qa009,https://www.honda.co.jp/customer/motor/scooter125/faq/qa009/,,,2026-07-25,"オイル交換時0.7L/全容量0.8L。交換時期:初回1000km/1ヶ月→以後3000km/1年。JASO=MBはスクーター(CVT)標準(FAQにJASO/粘度の明記なし)。出典FAQは2026年式Dio110。推奨油の製品名はFAQ非記載→要確認。在庫年式と差異あれば要確認。frame_code/year_range要確認。"
