bike_model_id,model_name_check,model_slug,task,frame_code,year_range,oem_part_no,recommended_part_no,compatibles,spec,source_1_name,source_1_url,source_2_name,source_2_url,verified_at,note_public,note_internal,cost_oil_range,cost_shop_range,cost_diy_range,cost_updated_at
459,スーパーカブ50,super-cub-50,oil,AA01/AA04/AA09,2007/09〜,,10W-30,ホンダ純正:ウルトラG1,jaso=MA;capacity_change=0.8L;interval=3000km,Honda公式Q&A,https://www.honda.co.jp/customer/motor/supercub50/faq/qa009/,,,2026-07-07,フィルター無し・交換量0.8L,現行G1は5W-30。10W-30は代表表記/要確認,1150〜1550円,2400〜3000円,1350〜1850円,2026-07
587,リトルカブ,little-cub,oil,AA01,2007/09〜,,10W-30,ホンダ純正:ウルトラG1,jaso=MA;capacity_change=0.8L;interval=3000km,Honda公式Q&A,https://www.honda.co.jp/customer/motor/supercub50/faq/qa009/,,,2026-07-07,スーパーカブ50と共通,前回実装分の10台目MA。含めるか要確認,1150〜1550円,2400〜3000円,1350〜1850円,2026-07
451,スーパーカブ110,super-cub-110,oil,JA59/JA44/JA07/JA10,2009/06〜,,10W-30,ホンダ純正:ウルトラG1,jaso=MA;capacity_change=0.8L;capacity_filter=0.85L;interval=3000km,Honda公式Q&A,https://www.honda.co.jp/customer/motor/supercub110/faq/qa009/,,,2026-07-07,プロはフィルター交換時0.90L,粘度要確認(現行G1は5W-30),1150〜1550円,2400〜3000円,1350〜1850円,2026-07
408,クロスカブ110,cross-cub-110,oil,JA45/JA60,2018/02〜,,10W-30,ホンダ純正:ウルトラG1,jaso=MA;capacity_change=0.8L;capacity_filter=0.85L;interval=3000km,Honda公式Q&A,https://www.honda.co.jp/customer/motor/crosscub110/faq/qa009/,,,2026-07-07,,粘度要確認(現行G1は5W-30),1150〜1550円,2400〜3000円,1350〜1850円,2026-07
458,スーパーカブc125,super-cub-c125,oil,JA48/JA58,2018/09〜,,10W-30,ホンダ純正:ウルトラG1,jaso=MA;capacity_change=0.8L;capacity_filter=0.85L;interval=3000km,Honda公式Q&A,https://www.honda.co.jp/customer/motor/supercubc125/faq/qa009/,,,2026-07-07,,粘度要確認(現行G1は5W-30),1150〜1550円,2400〜3500円,1350〜1850円,2026-07
181,ct125ハンターカブ,ct125,oil,JA55/JA65,2020/06〜,,10W-30,ホンダ純正:ウルトラG1,jaso=MA;capacity_change=0.8L;capacity_filter=0.85L;interval=3000km,Honda公式Q&A,https://www.honda.co.jp/customer/motor/ct125/faq/qa009/,,,2026-07-07,,slug重複解消済み(181のみ)。粘度要確認,1150〜1550円,2400〜3500円,1350〜1850円,2026-07
570,モンキー125,monkey-125,oil,JB02/JB03,2018/07〜,,10W-30,ホンダ純正:ウルトラG1,jaso=MA;capacity_change=0.9L;capacity_filter=0.9L;interval=3000km,Honda公式Q&A,https://www.honda.co.jp/customer/motor/monkey125/faq/qa009/,,,2026-07-07,JB02は遠心式のみ・JB03は濾過式あり,粘度要確認(現行G1は5W-30),1300〜1750円,2600〜3700円,1500〜2050円,2026-07
411,グロム,grom,oil,,,,10W-30,ホンダ純正:ウルトラG1,jaso=MA;capacity_change=0.9L;capacity_filter=0.9L;interval=3000km,Honda公式Q&A,https://www.honda.co.jp/customer/motor/grom/faq/qa009/,,,2026-07-07,,型式・粘度要確認,1300〜1750円,2600〜3700円,1500〜2050円,2026-07
217,gb350,gb350,oil,,,,10W-30,ホンダ純正:ウルトラG1,jaso=MA;capacity_change=2.0L;interval=3000km,Honda公式Q&A,https://www.honda.co.jp/customer/motor/gb350/faq/qa009/,,,2026-07-07,オイル全容量2.5L・フィルター交換時も2.0L,粘度は5W-30も可(Honda公式)。型式要確認,2900〜3900円,4250〜7250円,3100〜4200円,2026-07
590,レブル250,rebel-250,oil,,,,10W-30,ホンダ純正:ウルトラG1,jaso=MA;capacity_change=1.4L;capacity_filter=1.5L;interval=6000km,Honda公式Q&A,https://www.honda.co.jp/customer/motor/rebel250/faq/qa009/,,,2026-07-07,交換目安6000km,大型・型式要確認,2000〜2750円,3350〜6100円,2250〜3000円,2026-07
