bike_model_id,model_name_check,model_slug,task,frame_code,year_range,oem_part_no,recommended_part_no,compatibles,spec,source_1_name,source_1_url,source_2_name,source_2_url,verified_at,note_public,note_internal
459,スーパーカブ50,super-cub-50,oil,AA01/AA04/AA09,2007/09〜,,10W-30,ホンダ純正:ウルトラG1,jaso=MA;capacity_change=0.8L;interval=3000km,Honda公式Q&A,https://www.honda.co.jp/customer/motor/supercub50/faq/qa009/,,,2026-07-07,フィルター無し・交換量0.8L,現行G1は5W-30。10W-30は代表表記/要確認
587,リトルカブ,little-cub,oil,AA01,2007/09〜,,10W-30,ホンダ純正:ウルトラG1,jaso=MA;capacity_change=0.8L;interval=3000km,Honda公式Q&A,https://www.honda.co.jp/customer/motor/supercub50/faq/qa009/,,,2026-07-07,スーパーカブ50と共通,前回実装分の10台目MA。含めるか要確認
451,スーパーカブ110,super-cub-110,oil,JA59/JA44/JA07/JA10,2009/06〜,,10W-30,ホンダ純正:ウルトラG1,jaso=MA;capacity_change=0.8L;capacity_filter=0.85L;interval=3000km,Honda公式Q&A,https://www.honda.co.jp/customer/motor/supercub110/faq/qa009/,,,2026-07-07,プロはフィルター交換時0.90L,粘度要確認(現行G1は5W-30)
408,クロスカブ110,cross-cub-110,oil,JA45/JA60,2018/02〜,,10W-30,ホンダ純正:ウルトラG1,jaso=MA;capacity_change=0.8L;capacity_filter=0.85L;interval=3000km,Honda公式Q&A,https://www.honda.co.jp/customer/motor/crosscub110/faq/qa009/,,,2026-07-07,,粘度要確認(現行G1は5W-30)
458,スーパーカブc125,super-cub-c125,oil,JA48/JA58,2018/09〜,,10W-30,ホンダ純正:ウルトラG1,jaso=MA;capacity_change=0.8L;capacity_filter=0.85L;interval=3000km,Honda公式Q&A,https://www.honda.co.jp/customer/motor/supercubc125/faq/qa009/,,,2026-07-07,,粘度要確認(現行G1は5W-30)
181,ct125ハンターカブ,ct125,oil,JA55/JA65,2020/06〜,,10W-30,ホンダ純正:ウルトラG1,jaso=MA;capacity_change=0.8L;capacity_filter=0.85L;interval=3000km,Honda公式Q&A,https://www.honda.co.jp/customer/motor/ct125/faq/qa009/,,,2026-07-07,,slug重複解消済み(181のみ)。粘度要確認
570,モンキー125,monkey-125,oil,JB02/JB03,2018/07〜,,10W-30,ホンダ純正:ウルトラG1,jaso=MA;capacity_change=0.9L;capacity_filter=0.9L;interval=3000km,Honda公式Q&A,https://www.honda.co.jp/customer/motor/monkey125/faq/qa009/,,,2026-07-07,JB02は遠心式のみ・JB03は濾過式あり,粘度要確認(現行G1は5W-30)
411,グロム,grom,oil,,,,10W-30,ホンダ純正:ウルトラG1,jaso=MA;capacity_change=0.9L;capacity_filter=0.9L;interval=3000km,Honda公式Q&A,https://www.honda.co.jp/customer/motor/grom/faq/qa009/,,,2026-07-07,,型式・粘度要確認
217,gb350,gb350,oil,,,,10W-30,ホンダ純正:ウルトラG1,jaso=MA;capacity_change=2.0L;interval=3000km,Honda公式Q&A,https://www.honda.co.jp/customer/motor/gb350/faq/qa009/,,,2026-07-07,オイル全容量2.5L,大型・粘度/銘柄要確認(G2/10W-40の可能性)・型式要確認
590,レブル250,rebel-250,oil,,,,10W-30,ホンダ純正:ウルトラG1,jaso=MA;capacity_change=1.4L;capacity_filter=1.5L;interval=6000km,Honda公式Q&A,https://www.honda.co.jp/customer/motor/rebel250/faq/qa009/,,,2026-07-07,交換目安6000km,大型・粘度/銘柄要確認・型式要確認
585,リード125,lead-125,oil,,,,10W-30,ホンダ純正:ウルトラE1,jaso=MB;capacity_change=0.8L;capacity_strainer=0.85L;interval=3000km,Honda公式Q&A,https://www.honda.co.jp/customer/motor/lead125/faq/qa009/,,,2026-07-07,ストレーナ清掃時0.85L,型式要確認
274,pcx,pcx,oil,,,,10W-30,ホンダ純正:ウルトラE1,jaso=MB;capacity_change=0.8L;capacity_strainer=0.85L;interval=6000km,Honda公式Q&A,https://www.honda.co.jp/customer/motor/pcx/faq/qa009/,,,2026-07-07,交換目安6000km・ストレーナ清掃時0.85L,slug/型式要確認
277,pcx160,pcx-160,oil,,,,10W-30,ホンダ純正:ウルトラE1,jaso=MB;capacity_change=0.8L;capacity_strainer=0.85L;interval=6000km,Honda公式Q&A,https://www.honda.co.jp/customer/motor/pcx160/faq/qa009/,,,2026-07-07,交換目安6000km・ストレーナ清掃時0.85L,PCX値を流用・PCX160独自FAQ要確認
195,dio110,dio110,oil,JK46,2026〜,,10W-30,ホンダ純正:ウルトラE1,jaso=MB;capacity_change=0.7L;interval=3000km,Honda公式Q&A,https://www.honda.co.jp/customer/motor/dio110/faq/qa009/,,,2026-07-07,新型(2026-)は交換量0.7L,年式境界要照合
195,dio110,dio110,oil,JF58,〜2025,,10W-30,ホンダ純正:ウルトラE1,jaso=MB;capacity_change=0.65L;interval=3000km,Honda公式Q&A,https://www.honda.co.jp/customer/motor/dio110/faq/qa009/,,,2026-07-07,旧型は交換量0.65L,JK46/JF58の年式境界を要照合
1264,nmax,nmax,oil,,,,10W-30,ヤマハ純正:ヤマルーブ,jaso=MB;capacity_change=0.9L;interval=3000km,ワイズギア ヤマルーブQA,https://www.ysgear.co.jp/mc/oil/qa/,,,2026-07-07,,web複数ソース確定・出典要照合
1265,nmax155,nmax155,oil,,,,10W-30,ヤマハ純正:ヤマルーブ,jaso=MB;capacity_change=0.9L;interval=3000km,ワイズギア ヤマルーブQA,https://www.ysgear.co.jp/mc/oil/qa/,,,2026-07-07,,NMAX値を流用・出典/量要照合
1456,シグナスx,cygnus-x,oil,,,,10W-30,ヤマハ純正:ヤマルーブ,jaso=MB;capacity_change=0.9L;interval=3000km,ワイズギア ヤマルーブQA,https://www.ysgear.co.jp/mc/oil/qa/,,,2026-07-07,,slug/型式要確認・出典要照合
1452,ジョグ125,jog-125,oil,SEJ5J,2022/11〜,,10W-30,ヤマハ純正:ヤマルーブ,jaso=MB;capacity_change=0.8L;interval=3000km,ワイズギア ヤマルーブQA,https://www.ysgear.co.jp/mc/oil/qa/,,,2026-07-07,量は現車ゲージ確認推奨,
1053,アドレス125,address-125,oil,DT11A/EN11J,2017/09〜,,10W-30,スズキ純正:エクスター,jaso=MB;capacity_change=0.65L;interval=3000km,スズキ二輪,https://www1.suzuki.co.jp/motor/,,,2026-07-07,少量のため入れすぎ注意,粘度10W-40の可能性・要確認
